go_id	gene_id
GO:0000166	Os01g0695700
GO:0000166	Os01g0695800
GO:0000166	Os01g0723200
GO:0000166	Os01g0723400
GO:0000166	Os01g0723800
GO:0000166	Os01g0732700
GO:0000166	Os01g0742300
GO:0000166	Os01g0743400
GO:0000166	Os01g0753100
GO:0000166	Os01g0757400
GO:0000166	Os01g0760400
GO:0000166	Os01g0765300
GO:0000166	Os01g0770500
GO:0000166	Os01g0772800
GO:0000166	Os01g0796400
GO:0000166	Os01g0801600
GO:0000166	Os01g0828100
GO:0000166	Os01g0829800
GO:0000166	Os01g0837300
GO:0000166	Os01g0837500
GO:0000166	Os01g0842600
GO:0000166	Os01g0856000
GO:0000166	Os01g0867800
GO:0000166	Os01g0868300
GO:0000166	Os01g0870100
GO:0000166	Os01g0876500
GO:0000166	Os01g0876800
GO:0000166	Os01g0886600
GO:0000166	Os01g0891300
GO:0000166	Os01g0901200
GO:0000166	Os01g0902100
GO:0000166	Os01g0907900
GO:0000166	Os01g0911300
GO:0000166	Os01g0913400
GO:0000166	Os01g0916600
GO:0000166	Os01g0929500
GO:0000166	Os01g0930900
GO:0000166	Os01g0930950
GO:0000166	Os01g0931000
GO:0000166	Os01g0933400
GO:0000166	Os01g0938200
GO:0000166	Os01g0939100
GO:0000166	Os01g0939600
GO:0000166	Os01g0945001
GO:0000166	Os01g0945800
GO:0000166	Os01g0948400
GO:0000166	Os01g0956600
GO:0000166	Os01g0958100
GO:0000166	Os01g0958500
GO:0000166	Os01g0965600
GO:0000166	Os01g0969100
GO:0000166	Os01g0971600
GO:0000166	Os01g0974701
GO:0000166	Os01g0978400
GO:0000166	Os02g0101500
GO:0000166	Os02g0105000
GO:0000166	Os02g0105400
GO:0000166	Os02g0116500
GO:0000166	Os02g0116900
GO:0000166	Os02g0120900
GO:0000166	Os02g0121000
GO:0000166	Os02g0122800
GO:0000166	Os02g0131700
GO:0000166	Os02g0137700
GO:0000166	Os02g0138200
GO:0000166	Os02g0139600
GO:0000166	Os02g0150300
GO:0000166	Os02g0151600
GO:0000166	Os02g0157900
GO:0000166	Os02g0159900
GO:0000166	Os02g0167500
GO:0000166	Os02g0171100
GO:0000166	Os02g0172600
GO:0000166	Os02g0176700
GO:0000166	Os02g0179900
GO:0000166	Os02g0180700
GO:0000166	Os02g0181900
GO:0000166	Os02g0183900
GO:0000166	Os02g0187800
GO:0000166	Os02g0189800
GO:0000166	Os02g0190000
GO:0000166	Os02g0190300
GO:0000166	Os02g0196600
GO:0000166	Os02g0199900
GO:0000166	Os02g0204400
GO:0000166	Os02g0205300
GO:0000166	Os02g0208200
GO:0000166	Os02g0221500
GO:0000166	Os02g0229000
GO:0000166	Os02g0234500
GO:0000166	Os02g0244600
GO:0000166	Os02g0266300
GO:0000166	Os02g0274100
GO:0000166	Os02g0277600
GO:0000166	Os02g0282900
GO:0000166	Os02g0288400
GO:0000166	Os02g0288700
GO:0000166	Os02g0297132
GO:0000166	Os02g0316800
GO:0000166	Os02g0318450
GO:0000166	Os02g0319100
GO:0000166	Os02g0325100
GO:0000166	Os02g0436400
GO:0000166	Os02g0497700
GO:0000166	Os02g0503500
GO:0000166	Os02g0506500
GO:0000166	Os02g0511100
GO:0000166	Os02g0511400
GO:0000166	Os02g0511900
GO:0000166	Os02g0525400
GO:0000166	Os02g0536400
GO:0000166	Os02g0537400
GO:0000166	Os02g0538000
GO:0000166	Os02g0555000
GO:0000166	Os02g0556100
GO:0000166	Os02g0557500
GO:0000166	Os02g0557700
GO:0000166	Os02g0562700
GO:0000166	Os02g0564400
GO:0000166	Os02g0567900
GO:0000166	Os02g0600400
GO:0000166	Os02g0601300
GO:0000166	Os02g0602600
GO:0000166	Os02g0607700
GO:0000166	Os02g0610400
GO:0000166	Os02g0610600
GO:0000166	Os02g0612300
GO:0000166	Os02g0623500
GO:0000166	Os02g0637700
GO:0000166	Os02g0640600
GO:0000166	Os02g0640800
GO:0000166	Os02g0649700
GO:0000166	Os02g0650900
GO:0000166	Os02g0669700
GO:0000166	Os02g0678400
GO:0000166	Os02g0686400
GO:0000166	Os02g0693700
GO:0000166	Os02g0697600
GO:0000166	Os02g0701900
GO:0000166	Os02g0705000
GO:0000166	Os02g0706500
GO:0000166	Os02g0714000
GO:0000166	Os02g0715200
GO:0000166	Os02g0719800
GO:0000166	Os02g0722001
GO:0000166	Os02g0723300
GO:0000166	Os02g0730800
GO:0000166	Os02g0736600
GO:0000166	Os02g0740300
GO:0000166	Os02g0749150
GO:0000166	Os02g0754700
GO:0000166	Os02g0755400
GO:0000166	Os02g0757900
GO:0000166	Os02g0778200
GO:0000166	Os02g0788300
GO:0000166	Os02g0788400
GO:0000166	Os02g0789400
GO:0000166	Os02g0789700
GO:0000166	Os02g0791500
GO:0000166	Os02g0797300
GO:0000166	Os02g0800500
GO:0000166	Os02g0803700
GO:0000166	Os02g0804600
GO:0000166	Os02g0805600
GO:0000166	Os02g0810300
GO:0000166	Os02g0811400
GO:0000166	Os02g0811600
GO:0000166	Os02g0811800
GO:0000166	Os02g0812000
GO:0000166	Os02g0815200
GO:0000166	Os02g0826200
GO:0000166	Os02g0826500
GO:0000166	Os02g0834700
GO:0000166	Os03g0100800
GO:0000166	Os03g0101600
GO:0000166	Os03g0107100
GO:0000166	Os03g0114400
GO:0000166	Os03g0115700
GO:0000166	Os03g0117000
GO:0000166	Os03g0118600
GO:0000166	Os03g0123200
GO:0000166	Os03g0126100
GO:0000166	Os03g0136800
GO:0000166	Os03g0138100
GO:0000166	Os03g0142800
GO:0000166	Os03g0143300
GO:0000166	Os03g0147150
GO:0000166	Os03g0151800
GO:0000166	Os03g0153000
GO:0000166	Os03g0157400
GO:0000166	Os03g0157800
GO:0000166	Os03g0163100
GO:0000166	Os03g0167600
GO:0000166	Os03g0174100
GO:0000166	Os03g0178100
GO:0000166	Os03g0181750
GO:0000166	Os03g0184550
GO:0000166	Os03g0184600
GO:0000166	Os03g0189400
GO:0000166	Os03g0189600
GO:0000166	Os03g0198400
GO:0000166	Os03g0203700
GO:0000166	Os03g0209600
GO:0000166	Os03g0223200
GO:0000166	Os03g0245100
GO:0000166	Os03g0249500
GO:0000166	Os03g0259400
GO:0000166	Os03g0262300
GO:0000166	Os03g0264800
GO:0000166	Os03g0265600
GO:0000166	Os03g0268900
GO:0000166	Os03g0269000
GO:0000166	Os03g0269100
GO:0000166	Os03g0278000
GO:0000166	Os03g0278200
GO:0000166	Os03g0278300
GO:0000166	Os03g0278500
GO:0000166	Os03g0278800
GO:0000166	Os03g0280000
GO:0000166	Os03g0280800
GO:0000166	Os03g0281600
GO:0000166	Os03g0282100
GO:0000166	Os03g0285900
GO:0000166	Os03g0286500
GO:0000166	Os03g0294900
GO:0000166	Os03g0298400
GO:0000166	Os03g0298800
